City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,City,City_Alter,Country,Latitude,Longitude,Country_IS,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2050,Tampa-St. Petersburg,Tucson,Virginia Beach,"Washington, D.C.",Ouagadougou,Montevideo,Tashkent,Barquisimeto,Caracas,Maracaibo,Maracay,Valencia,Al-Hudaydah,Sana'a',Ta'izz,Lusaka
Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Sofia,NA,Bulgaria,42.7072681,23.3318706,BGR,520,620,710,810,890,980,1070,1180,1190,1170,1130,1170,1180,1210,1230,1240,1236,Tampa,NA,NA,Washington D.C.,NA,NA,NA,NA,NA,NA,NA,NA,Al Hudaydah,Sanaa,NA,NA
Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,Mandalay,NA,Myanmar,21.9760021,96.0840006,MMR,170,200,250,310,370,440,500,560,640,720,810,920,960,1030,1170,1310,1446,United States of America,United States of America,United States of America,United States of America,Burkina Faso,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),Yemen,Yemen,Yemen,Zambia
Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,Nay Pyi Taw,NA,Myanmar,19.75,96.1,MMR,0,0,0,0,0,0,0,0,0,0,0,60,930,1020,1180,1320,1461,27.997353,32.2217,36.834444,38.8909082,12.4800031,-34.92,41.2479361,10.065996,10.496043,10.6450021,10.244997,10.1780011,14.795001,15.3614431,13.5700021,-15.4299959
Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,Yangon,Rangoon,Myanmar,16.872228,96.1248876,MMR,1300,1440,1590,1760,1950,2150,2380,2630,2910,3210,3550,3930,4090,4350,4840,5360,5869,-82.5930265,-110.9264,-76.086944,-76.9538336,-1.6700035,-56.1699985,69.3498695,-69.3389966,-66.8982775,-71.6370025,-67.5939956,-68.0030005,42.9460025,44.2095035,44.0150046,28.1700005
Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,Minsk,NA,Belarus,53.8999381,27.5755595,BLR,280,410,550,720,930,1120,1320,1470,1610,1650,1700,1780,1800,1850,1880,1880,1883,USA,USA,USA,USA,BFA,URY,UZB,VEN,VEN,VEN,VEN,VEN,YEM,YEM,YEM,ZMB
